PM10,SO2,CO,NO2,HKIsonuc
124.58,5.85,4178.35,143.32,1
121.87,5.04,4129.18,154.62,1
63.09,3.56,1338.75,80.21,2
47.66,2.88,742.37,61.71,1
34.93,3.16,372.58,37.48,1
54.18,1.92,369.11,19.73,1
17.84,1.33,337.9,24.59,0
22.59,2.65,527.96,52.21,1
27.91,3.33,786.93,54.24,1
23.87,2.73,415.08,48.64,1
34.46,6.59,724.84,60.53,1
42.53,3.77,799.94,52.57101941747572,1
20.97,3.88,589.63,52.57101941747572,1
34.75,4.07,798.64,58.68,1
28.02,20.53,516.11,38.44,1
19.61,4.12,594.62,32.51,0
25.18,2.47,652.86,44.73,1
39.16,4.83,687.82,63.82,1
39.39,6.42,580.55,54.8,1
30.71,4.73,594.25,51.7,1
22.83,5.09,721.49,54.27,1
25.83,3.56,659.48,56.76,1
21.32,4.47,480.43,46.0,0
46.13,6.25,1241.08,97.86,2
56.13,5.87,1355.31,103.71,2
47.71,6.5,1165.57,84.09,2
39.64,7.7,836.32,83.41,1
80.11,7.76,1571.19,102.82,0
88.83,8.94,1674.2,111.86,2
64.3,5.5,1223.17,72.57,2
52.74,5.23,925.36,84.87,2
59.46,5.57,971.74,88.77,2
28.04,3.75,564.17,48.29,1
35.34,4.66,738.08,70.78,1
24.74,3.85,597.68,49.72,1
33.5,5.41,539.39,60.19,1
37.287298578199064,2.9720952380952386,563.8827962085306,52.57101941747572,1
